 op_mp  , op_gen , ow_avg , chp_mp , chp_gen 
0,0,0.26,0.02,0.02
44,20,29.11,0.71,1.65
75,14,21.3,0.45,4.7
0,5,7.07,0.1,0.16
0,0,0.98,0.02,0.1
50,0,11.75,0.3,0.24
100,0,3.17,0.47,0.47
30,0,1.29,0.31,0.31
33,9,11.35,0.17,0.55
50,25,31.44,0.25,1.45
0,0,0.01,0.01,0.01
100,0,2.36,0.55,0.55
40,0,0.46,0.13,0.17
0,0,3.41,0.02,0.1
0,0,2.33,0.09,1.09
0,0,0.84,0.15,0.15
0,0,1.04,0.05,0.05
50,33,30.24,1.19,2.38
63,46,45.66,0.98,0.85
17,70,73.91,0.08,2.21
14,0,7.41,0.17,2.44
0,0,0.01,0.03,0.03
27,0,4.13,0.23,0.44
100,0,0.26,0.03,0.03
0,9,11.07,0.3,0.55
25,0,0.66,0.02,0.1
27,14,23.24,0.32,0.33
100,0,12.51,0.86,0.77
11,0,12.1,0.87,0.88
0,0,16.52,0.69,0.85
56,30,31.04,0.37,0.67
42,8,18.83,0.51,1.02
100,0,0.55,0.02,0.02
6,0,5.76,0.52,0.5
0,0,1.96,0.43,0.32
0,0,0.71,0.13,0.08
0,0,1.74,0.02,0.02
52,4,5.07,0.02,0.02
100,0,1.35,0.06,0.06
0,0,0.05,0.05,0.05
0,0,0.35,0.1,0.1
100,0,0.95,0.22,0.22
0,0,0.43,0.03,0.03
14,0,3.74,0.54,1.15
33,0,0.24,0.01,0.01
0,0,8.84,0.05,0.1
0,0,1.95,1.29,1.31
100,0,4.46,0.14,0.79
0,0,0.3,0.23,0.23
7,0,3.01,0.49,0.58
52,0,0.55,0.41,0.41
0,0,0.53,0.12,0.12
100,29,25.24,0.1,0.4
55,24,36.39,0.81,5.33
0,0,60.47,5.72,5.72
0,0,1.1,0.13,0.13
0,0,0.19,0.16,0.16
0,0,1.4,0.79,0.79
54,1,31.67,6.4,6.4
0,0,5.41,0.49,0.53
0,0,7.3,0.25,3.19
0,0,1.79,0.39,1.14
0,0,0.14,0.02,0.02
0,0,0.08,0.01,0.01
55,1,9.37,0.42,0.34
51,0,12.08,0.96,1.08
0,0,0.25,0.02,0.03
0,0,0.95,0.02,0.02
17,11,13.65,0.29,0.61
29,1,6.54,0.58,0.65
30,0,3.99,0.42,0.66
89,0,12.83,0.82,0.54
0,42,37.18,0.02,1.9
44,11,25.46,1,8.62
73,17,32.13,1.54,1.48
0,11,27.67,0.02,2.81
33,0,6.74,0.88,0.66
100,0,4.31,1.15,1.15
100,0,1.33,0.58,0.58
0,0,0.57,0.07,0.07
0,0,0.02,0.03,0.03
25,0,12.47,0.55,0.55
0,0,1.85,0.4,0.4
0,0,0.64,0.02,0.19
0,0,0.11,0.01,0.01
18,8,14.89,0.12,0.38
0,0,0.38,0.14,0.14
0,0,0.29,0.04,0.04
52,1,2.48,0.16,0.16
0,0,1.34,0.32,0.32
0,0,4.5,1.36,1.75
0,0,1.27,0.42,0.42
67,0,1.89,0.19,0.19
0,5,15.93,0.07,0.22
16,0,8.17,0.38,0.95
0,0,8.8,0.33,1.81
0,0,2.76,0.07,0.33
0,0,5.08,0.37,1.35
0,0,2.47,0.28,0.29
0,0,12.7,0.03,0.78
0,0,1.82,0.04,0.21
75,43,41.5,1.61,1.84
47,5,9.42,0.18,0.22
100,0,6.33,0.1,0.1
0,0,3.82,0.03,0.13
53,3,10.85,0.42,0.41
0,0,0.98,0.61,0.19
29,0,8.47,1.27,2.13
2,0,1.69,0.07,0.25
77,42,55,0.71,0.72
0,0,0.27,0.01,0.01
0,0,0.15,0.03,0.02
32,0,3.49,0.35,0.26
27,0,2.69,0.62,0.44
100,0,0.23,0.02,0.02
100,0,3.29,0.78,0.78
80,40,52.26,2.87,2.87
0,0,1.12,0.37,0.37
67,17,30.18,0.87,0.84
50,0,31.38,0.31,0.42
38,0,5.86,0.29,0.31
53,10,24.09,1.14,2.19
44,1,8.77,0.42,0.88
51,3,7.73,0.84,1.21
33,0,0.26,0.05,0.03
43,0,3.46,0.15,0.13
45,0,1.77,0.12,0.14
64,25,30.82,1.49,1.33
60,0,1.14,0.15,0.15
32,0,4.05,0.85,0.88
17,0,0.31,0.06,0.05
92,33,41.54,0.76,1.66
100,0,1.43,0.08,0.08
57,27,33.79,0.49,0.8
40,4,10.9,0.47,1.21
0,0,0.53,0.03,0.03
36,0,6.37,0.33,1.04
0,0,0.07,0.02,0.02
0,0,0.66,0.02,0.03
100,0,0.62,0.08,0.08
100,0,1.34,0.05,0.1
0,0,2.2,0.69,1.37
0,0,0.02,0.01,0.01
78,27,35.51,1.15,1.05
0,0,1.42,0.11,0.55
50,0,0.72,0.04,0.12
0,0,4.73,0.39,0.39
100,0,9.9,4.55,2.33
25,0,2.06,0.21,0.21
40,8,16.8,0.59,1.04
86,6,13.34,0.11,0.25
0,0,0.06,0.02,0.04
0,0,0.14,0.06,0.06
60,10,15.09,0.74,0.87
0,6,8.11,0.5,0.26
33,33,28.83,1.5,1.5
19,0,0.35,0.04,0.05
0,0,0.18,0.02,0.02
32,5,13.66,0.5,0.62
0,0,0.08,0.02,0.02
50,0,0.83,0.2,0.2
0,0,0.06,0.01,0.01
0,0,1.01,0.17,0.17
19,0,0.54,0.05,0.05
100,0,3.88,0.55,0.55
0,0,0.92,0.06,0.06
63,0,1.34,0.07,0.07
0,0,1.34,0.12,0.12
0,0,1.87,1.82,1.82
100,0,0.22,0.07,0.06
50,0,3.67,0.17,0.17
0,0,0.03,0.06,0.06
25,38,47.27,0.15,0.84
64,7,22.64,0.57,0.5
60,0,10.31,0.47,0.52
100,0,16.59,0.47,0.4
33,0,22.14,1.28,1.28
66,2,22.46,1.17,1.31
50,0,5.68,0.16,0.11
13,0,0.56,0.1,0.1
0,0,0.12,0.02,0.02
50,0,0.24,0.05,0.09
50,0,3.38,0.23,0.24
50,0,1.66,0.07,0.07
48,11,12.45,3.05,3.62
45,0,4.35,0.63,0.73
67,17,24.88,1.21,1.12
15,13,26.86,0.61,3.11
0,0,0.06,0.03,0.03
10,0,0.43,0.07,0.08
0,0,0.07,0.01,0.01
33,0,9.28,0.42,0.45
85,23,33.32,0.73,0.74
61,18,29.43,0.64,1.71
0,0,0.09,0.08,0.04
7,4,8.56,0.16,0.16
0,0,0.22,0.14,0.14
100,0,1.38,0.04,0.04
0,0,0.63,0.05,0.13
100,0,23.15,4.36,2.67
0,0,0.12,0.16,0.16
0,0,0.07,0.02,0.02
0,0,0.6,0.11,0.06
7,0,2.02,0.09,0.08
80,0,4.29,0.04,0.51
50,9,12.6,0.12,0.49
11,19,32.68,0.05,1.08
0,0,0.26,0.02,0.02
0,0,0.28,0.05,0.05
0,0,0.04,0.02,0.02
100,0,8.8,0.04,0.44
53,9,10.73,0.64,0.44
100,0,0.75,0.04,0.04
100,0,0.12,0.03,0.03
0,0,0.13,0.05,0.05
0,0,0.45,0.04,0.04
0,0,25.03,0.18,1.14
50,0,9.57,0.1,0.1
0,0,3.02,0.24,0.24
46,4,15.29,1.82,1.83
37,6,13.36,0.34,0.49
0,0,1.79,0.13,0.13
25,0,0.56,0.21,0.21
0,0,0.21,0.11,0.11
50,0,0.58,0.08,0.08
50,0,0.21,0.12,0.11
50,0,1.46,1.08,1.08
0,0,0.4,0.06,0.44
100,0,0.98,0.35,0.35
50,11,17.51,0.03,0.58
72,15,24.14,0.75,1.49
100,0,2.13,0.6,0.6
33,0,2.58,0.52,0.16
0,0,3.67,0.27,0.25
0,0,0.49,0.12,0.12
100,0,31.88,0.66,0.66
0,0,0.78,0.75,0.75
0,0,0.51,0.06,0.46
0,0,0.09,0.02,0.3
50,4,10.8,0.43,0.23
100,0,3.42,0.63,0.4
0,0,1.2,0.15,0.15
30,0,2.54,0.29,0.38
100,0,2.74,0.04,0.05
50,50,50.51,0.13,0.13
44,2,9.56,0.54,0.62
16,43,52.01,0.8,7.63
22,8,23.78,0.84,7.6
53,32,42.18,1.85,3.65
29,0,1.44,0.52,0.3
0,0,0.18,0.02,0.06
50,0,3.28,1.26,1.21
65,8,25.29,2.84,4.98
50,15,43.41,1.01,0.79
0,0,0.18,0.06,0.06
44,2,4.13,0.15,0.22
48,0,0.81,0.02,0.02
49,0,2.1,0.12,0.12
100,0,0.72,0.02,0.04
30,1,3.58,0.34,0.3
63,4,7.27,0.79,0.52
0,0,0.9,0.54,0.54
0,1,4.45,0.23,0.23
23,2,4.1,0.39,0.53
69,27,27.55,1,0.81
0,0,0.06,0.03,0.03
0,0,0.34,0.04,0.16
100,0,13.84,0.73,3.12
50,0,5.91,2.28,1.18
50,0,0.9,0.09,0.11
28,4,13.19,0.72,1.23
100,0,5.56,4.18,1.14
0,0,0.95,0.18,0.2
0,0,1.76,0.03,0.03
0,0,0.84,0.05,0.2
25,0,0.99,0.2,0.2
33,0,3.75,0.41,0.27
50,8,16.65,1.2,1.2
25,0,0.69,0.14,0.14
0,0,0.39,0.13,0.13
0,0,1.84,1.48,0.97
33,0,6.68,0.02,0.32
82,50,55,1.96,2.16
86,0,8.16,0.12,0.16
0,0,0.1,0.02,0.02
100,0,0.3,0.05,0.06
0,0,7.19,0.32,0.32
100,0,0.11,0.02,0.02
0,0,0.19,0.04,0.04
80,0,5.34,0.19,0.25
0,0,0.06,0.16,0.1
0,0,0.11,0.01,0.01
100,0,4.32,0.74,0.74
100,0,29.97,0.26,0.26
13,0,8.73,3.27,3.72
100,50,45.8,4.52,4.52
100,33,29.24,2.24,2.24
33,0,4.54,0.31,0.42
42,15,20.85,1.36,1.38
50,0,7.22,0.34,0.34
0,0,1.36,0.58,0.58
80,10,19.59,0.72,0.72
0,0,0.16,0.04,0.04
50,11,19.51,0.03,0.16
100,0,0.52,0.03,0.03
0,0,0.49,0.02,0.04
0,0,0.2,0.02,0.02
0,0,1.42,0.05,0.25
0,0,0.17,0.02,0.02
50,0,3.74,0.4,0.72
33,0,0.38,0.12,0.12
60,6,7.45,0.27,0.18
70,0,17.79,0.36,1.94
0,0,9.44,0.82,0.82
100,0,46.85,29.77,29.77
100,67,66.7,0.02,0.03
14,0,1.06,0.93,1.35
100,0,0.49,0.06,0.06
35,9,16.32,1.16,1.13
0,0,6.72,0.12,0.07
51,0,1.92,0.05,0.06
100,0,3.05,0.44,0.44
0,0,0.04,0.01,0.01
0,0,0.8,0.08,0.08
0,0,6.66,0.62,0.62
59,5,8.11,0.13,0.14
29,0,0.43,0.02,0.02
46,2,12.33,0.06,0.13
67,0,2.49,0.02,0.12
49,4,9.86,0.16,0.34
72,6,10.37,0.1,0.12
0,0,0.13,0.04,0.04
0,5,16.13,0.02,0.32
100,0,29.22,0.42,0.42
0,0,0.12,0.12,0.12
11,0,2.82,1.08,1.08
100,0,0.58,0.02,0.03
62,7,13.61,1.9,1.2
0,0,1.78,0.03,0.03
10,0,4.3,0.33,0.33
100,0,6.65,3.04,0.96
0,0,0.04,0.02,0.02
57,0,0.95,0.15,0.14
17,10,11.54,0.8,0.51
100,6,17.42,0.02,0.56
56,0,2.42,0.43,0.44
100,0,0.58,0.17,0.08
67,28,33.22,0.45,0.98
0,29,44.5,0.04,1.18
0,0,0.65,0.06,0.06
50,0,0.07,0.03,0.03
31,7,16.77,1.09,1.25
17,4,13.97,0.12,2.25
0,0,3.7,0.03,2.09
0,0,0.81,0.31,0.63
8,10,24.73,0.16,5.78
0,0,0.25,0.26,0.26
40,0,0.96,0.21,0.35
8,0,0.65,0.04,0.04
34,5,12.38,0.7,1.96
67,0,32.09,5.15,7.28
100,0,0.08,0.09,0.09
0,0,0.12,0.1,0.1
61,0,1.9,0.08,0.1
0,0,0.11,0.02,0.02
0,0,0.61,0.11,0.11
0,0,0.84,0.11,0.11
0,0,0.41,0.28,0.28
0,0,3.48,0.2,0.23
100,0,6.66,0.1,0.1
44,5,15.48,0.94,1.34
38,0,0.86,0.39,0.39
33,0,4.44,2.88,5.17
0,0,1.48,0.06,0.69
100,0,10.54,4.9,4.9
53,0,3.4,0.18,0.27
25,0,0.22,0.06,0.07
0,0,20.54,1.06,1.06
28,11,16.72,0.36,0.51
100,0,1.2,0.21,0.13
63,18,24.51,1.34,1.07
0,4,4.77,0.05,0.08
0,0,0.24,0.05,0.11
44,0,34.23,5.52,4.97
0,0,0.03,0.01,0.01
0,0,35.18,1.84,1.84
50,0,1.11,0.07,0.11
0,0,0.82,0.42,0.42
67,0,2.85,0.21,0.16
25,0,1.96,0.16,0.23
0,0,0.35,0.09,0.12
50,0,3.98,0.1,0.12
0,0,0.16,0.03,0.03
83,0,0.53,0.05,0.05
50,2,5.53,0.15,0.18
0,0,6.13,0.11,0.11
34,6,14.93,0.32,0.65
23,1,4.79,0.21,0.27
18,0,6.98,1.46,1.82
0,0,4.11,2.24,2.24
52,0,1.31,0.05,0.05
56,44,52.93,0.99,0.99
0,0,0.22,0.17,0.17
40,1,8.47,0.48,0.77
50,0,2.71,0.25,0.25
25,0,4.7,0.42,0.45
23,0,1.11,0.16,0.13
33,0,5.99,0.83,1.24
33,0,0.76,0.07,0.14
58,2,7.24,0.09,0.21
0,0,0.14,0.06,0.06
0,0,0.86,0.08,0.05
67,0,2.34,0.27,0.27
0,0,0.04,0.02,0.02
58,11,41.11,2.58,3.5
33,0,12.08,0.07,0.3
52,1,4.94,0.1,0.13
100,0,11.85,0.11,0.09
100,0,17.48,0.18,0.18
33,0,0.44,0.04,0.06
0,0,0.12,0.1,0.1
18,0,4.94,0.41,0.45
0,0,4.84,0.06,0.02
0,0,1,0.14,0.14
14,0,1.33,0.07,0.21
0,0,0.07,0.05,0.05
50,4,7.27,0.51,0.56
50,0,0.45,0.16,0.14
60,3,11,0.6,0.54
50,0,10.31,0.03,0.76
100,0,0.93,0.18,0.11
0,0,0.37,0.03,0.03
0,0,0.51,0.14,0.06
37,0,3.59,0.49,1.63
33,1,7.01,0.23,0.4
33,0,1.91,0.18,0.16
0,0,0.27,0.26,0.26
50,0,0.96,0.08,0.15
100,25,26.18,0.28,0.22
0,0,22.69,0.1,0.71
0,0,0.15,0.02,0.02
50,28,31.65,0.06,1.01
0,0,0.27,0.01,0.01
33,2,5.63,0.25,1.05
100,0,3.88,1.88,1.13
0,0,0.11,0.06,0.06
19,0,0.76,0.11,0.11
0,0,0.53,0.22,0.22
0,0,0.15,0.03,0.03
63,2,9.32,0.6,0.81
48,9,15.23,0.77,1.6
100,50,50.41,1.13,1.42
0,0,0.03,0.02,0.02
